Teu,Delivery_Date,Deadweight,Shipbuilder,Group_Beneficial_Owner,Operator,LR_IMO_Ship_No,Speed,Newbuild_Price_USD,Ship_Name,Beam,Delivery Year,Size Group,age
2073,1987-04-29,41815,NORMED - La Ciotat,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8420892,18.5,,MSC Chiara,32.25999832,1987,1800 - 2399 TEU,29.03084504
1022,1987-05-06,13464,Bremer Vulkan Schiffbau,NSB NIEDERELBE SCHIFFAHRTSGES,OCEAN AFRICA CONTAINER LINES,8614194,17,,Doria,23.31999969,1987,900 - 1199 TEU,29.01168096
3074,1987-06-01,43108,Daewoo Shipbuilding & Heavy,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8517891,21.70000076,,MSC Didem,32.22999954,1987,2900 - 3999 TEU,28.94050009
1712,1987-07-10,21282,Bay Shipbuilding Co,HORIZON LINES INC,HORIZON LINES LLC,8419142,20,60000000,Horizon Anchorage,23.82999992,1987,1600 - 1799 TEU,28.83372878
1712,1987-09-10,20668,Bay Shipbuilding Co,HORIZON LINES INC,HORIZON LINES LLC,8419154,20,60000000,Horizon Tacoma,23.82999992,1987,1600 - 1799 TEU,28.66398978
2098,1987-09-12,25904,Uljanik Brodogradiliste,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8505836,18.20000076,,MSC Giovanna,32.20999908,1987,1800 - 2399 TEU,28.65851433
155,1987-09-26,3016,Naikai Shipbuilding - Setoda,SINOKOR MERCHANT MARINE CO LTD,SINOKOR MERCHANT MARINE CO LTD,8706650,17.60000038,,Sinokor Incheon,18.04000092,1987,0 - 899 TEU,28.62018617
1712,1987-11-09,20668,Bay Shipbuilding Co,HORIZON LINES INC,HORIZON LINES LLC,8419166,20,60000000,Matson Kodiak,23.82999992,1987,1600 - 1799 TEU,28.49972623
420,1988-02-01,5384,Wuchang Shipyard,HUAHAI SHIPPING HOLDING HK CO,NANJING HUAHAI SHIPPING CO LTD,8954635,11,,Xing Hua Hai 1,16,1988,0 - 899 TEU,28.2690456
4437,1988-04-01,60639,Odense Staalskibs - Lindo,COSTAMARE SHIPPING CO SA,MSC MEDITERRANEAN SHIPPING CO,8613308,23,,MSC Mykonos,32.27999878,1988,4000 - 5399 TEU,28.10478618
2073,1988-04-21,41771,Normed du Littoral - La Ciotat,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8420907,18,,MSC Jasmine,32.20000076,1988,1800 - 2399 TEU,28.05003304
2073,1988-04-28,41771,Atlantique Chs,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8509375,18,,MSC Denisse,32.20000076,1988,1800 - 2399 TEU,28.03086944
575,1988-08-01,12418,Komuny Paryskiej Stocznia,NATIONAL SHIPPING OF AMERICA,NATIONAL SHIPPING OF AMERICA,8302246,15,,National Glory,22.01000023,1988,0 - 899 TEU,27.77079203
2750,1988-08-30,42513,Samsung Shipbuilding & HI,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8616520,20.5,37500000,MSC Maria Laura,32.20000076,1988,2700 - 2899 TEU,27.69139998
4437,1988-09-01,60639,Odense Staalskibs - Lindo,COSTAMARE SHIPPING CO SA,MSC MEDITERRANEAN SHIPPING CO,8613310,23,,MSC Mandraki,32.27999878,1988,4000 - 5399 TEU,27.68592467
2932,1988-11-21,43170,Daewoo Shipbuilding & Heavy,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8714190,21.70000076,30000000,MSC Maya,32.29000092,1988,2900 - 3999 TEU,27.46417445
4437,1989-01-05,60639,Odense Staalskibs - Lindo,SEASPAN ULC,MSC MEDITERRANEAN SHIPPING CO,8613322,23,,MSC Manu,32.27999878,1989,4000 - 5399 TEU,27.34291581
634,1989-01-23,14504,Naikai Shipbuilding - Setoda,WAN HAI LINES LTD,WAN HAI LINES LTD,8809232,16.70000076,,Hon Chun,23.53100014,1989,0 - 899 TEU,27.2936345
910,1989-01-23,11800,Fincantieri Venice,DOLE FOOD CO,DOLE OCEAN CARGO EXPRESS INC,8513467,20,,Dole California,27.01000023,1989,900 - 1199 TEU,27.2936345
910,1989-02-10,11613,Fincantieri Venice,DOLE FOOD CO,DOLE OCEAN CARGO EXPRESS INC,8513479,20,,Dole Ecuador,27.01000023,1989,900 - 1199 TEU,27.24435318
3074,1989-03-03,43078,Daewoo Shipbuilding & Heavy,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8714205,21.70000076,30000000,MSC Sabrina,32.20000076,1989,2900 - 3999 TEU,27.18685832
2932,1989-04-14,43140,Samsung Shipbuilding & HI,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8608200,21.70000076,,MSC Levina,32.20999908,1989,2900 - 3999 TEU,27.07186858
4437,1989-04-26,60900,Odense Staalskibs - Lindo,SEASPAN ULC,MSC MEDITERRANEAN SHIPPING CO,8618293,24,,MSC Veronique,32.27999878,1989,4000 - 5399 TEU,27.03901437
816,1989-06-28,14867,Shin Kurushima Onishi,ORIENT INTERNATIONAL NSN,YI TONG CONTAINER LINE,8813609,18.5,,Venus C,22.60000038,1989,0 - 899 TEU,26.86652977
569,1989-07-21,9887,Shin Kurushima Akitsu,TRANSWORLD GROUP,ORIENT EXPRESS LINES INC,8812734,15,,Oel Victory,20.90999985,1989,0 - 899 TEU,26.80355921
760,1989-07-29,14900,Shin Kurushima Onishi,CHINA GOVT,ZIM INTEGRATED SHIPPING,8813611,18.5,,Blue Ocean,22.60000038,1989,0 - 899 TEU,26.7816564
4437,1989-09-07,60640,Odense Staalskibs - Lindo,SEASPAN ULC,MSC MEDITERRANEAN SHIPPING CO,8618308,24,,MSC Carole,32.27999878,1989,4000 - 5399 TEU,26.67214237
143,1989-09-21,3016,Naikai Shipbuilding - Setoda,KOREA SHIPMANAGERS CO LTD,YANTAI ZHONGHAN FERRY CO LTD,8910938,18,,Noel,18.03000069,1989,0 - 899 TEU,26.63381246
569,1989-09-22,9918,Shin Kurushima Akitsu,TANTO INTIM LINE PT,TANTO INTIM LINE PT,8812746,15,,Tanto Lestari,20.89999962,1989,0 - 899 TEU,26.63107461
357,1989-10-20,5500,Daedong Shipbuilding - Busan,,SAHIN DENIZ KARA NAKLIYE,8714114,13.5,,Ada,16.15999985,1989,0 - 899 TEU,26.55441478
2073,1989-11-01,41787,Normed du Littoral - La Ciotat,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8509387,18,,MSC Nicole,32.24000168,1989,1800 - 2399 TEU,26.52156057
2098,1989-12-12,25904,Uljanik Brodogradiliste,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8709640,18.20000076,,MSC Mirella,32.20000076,1989,1800 - 2399 TEU,26.40930869
4437,1989-12-14,60639,Odense Staalskibs - Lindo,SEASPAN ULC,MSC MEDITERRANEAN SHIPPING CO,8618310,23,,MSC Leanne,32.27999878,1989,4000 - 5399 TEU,26.40383299
1793,1989-12-15,26288,Bremer Vulkan Schiffbau,SALAM PACIFIC INDONESIA LINES,SALAM PACIFIC INDONESIA LINES,8902125,17.25,,Oriental Ruby,27.5,1989,1600 - 1799 TEU,26.40109514
330,1989-12-21,5956,Dae Sun Shipbuilding & Eng,KOREA MARINE TRANSPORT CO LTD,OCEAN GROW INTL SHIPMGMT,8921664,14.39999962,,Sunny Laurel,17.20999908,1989,0 - 899 TEU,26.38466804
1057,1990-02-17,23692,Naikai Shipbuilding - Setoda,WAN HAI LINES LTD,WAN HAI LINES LTD,8901755,17.5,22593144,Wan Hai 202,27.03199959,1990,900 - 1199 TEU,26.22520787
981,1990-03-11,13669,Miho Shimizu,SWIRE & SONS LTD,CHINA NAVIGATION CO PTE LTD,8809189,15.89999962,,Kiribati Chief,22.20000076,1990,900 - 1199 TEU,26.16497668
503,1990-04-04,6350,Sietas Schiffswerft Kg,GDANSKA ZEGLUGA SP Z OO,GDANSKA ZEGLUGA SP Z OO,8908545,16.5,,Corina,18.95499992,1990,0 - 899 TEU,26.09926992
4814,1990-04-11,60639,Odense Staalskibs - Lindo,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8715857,24,,MSC Sariska,32.27999878,1990,4000 - 5399 TEU,26.08010546
1248,1990-05-11,15152,Hanjin Shipbuilding Co Ltd,REGIONAL CONTAINER LINES,RCL SHIPMANAGEMENT PTE LTD,8813647,17,36000000,Mathu Bhum,25.03000069,1990,1200 - 1599 TEU,25.99797201
1743,1990-05-18,26288,Bremer Vulkan Schiffbau,SALAM PACIFIC INDONESIA LINES,SALAM PACIFIC INDONESIA LINES,8902137,17.25,,Oriental Jade,27.5,1990,1600 - 1799 TEU,25.97880754
4814,1990-06-13,60350,Odense Staalskibs - Lindo,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8715869,24,,MSC Federica,32.27999878,1990,4000 - 5399 TEU,25.90762523
981,1990-06-22,13387,Miho Shimizu,SWIRE & SONS LTD,CHINA NAVIGATION CO PTE LTD,8809191,15.89999962,,Melanesian Chief,22.20000076,1990,900 - 1199 TEU,25.8829852
1057,1990-06-25,23729,Naikai Shipbuilding - Setoda,WAN HAI LINES LTD,WAN HAI LINES LTD,8914013,17.5,,Wan Hai 203,27.01000023,1990,900 - 1199 TEU,25.87477185
1404,1990-06-29,22734,Shin Kurushima Onishi,MERATUS LINE PT,MERATUS LINE PT,8914269,19.10000038,,Meratus Medan 3,27.60000038,1990,1200 - 1599 TEU,25.86382073
495,1990-06-30,8286,Hakata,SALAM PACIFIC INDONESIA LINES,SALAM PACIFIC INDONESIA LINES,9000338,14,,Armada Setia,18.21999931,1990,0 - 899 TEU,25.86108294
316,1990-07-11,5782,Daedong Shipbuilding - Busan,,FUJIAN QUANZHOU FENGZE SHPG CO,8717776,15,,Guang Yi,15.85000038,1990,0 - 899 TEU,25.83096735
